2025-11-05 18:24:29 | @playaemor | начал процесс удаления админа
2025-11-05 18:24:30 | @playaemor | отменил удаление админа
2025-11-05 18:25:17 | @playaemor | начал процесс удаления админа
2025-11-05 18:25:21 | @playaemor | удалил админа (ID: 1848165986)
2025-11-05 18:25:23 | @playaemor | начал процесс удаления админа
2025-11-05 18:25:27 | @playaemor | удалил админа (ID: 2061514668)
2025-11-05 18:25:28 | @playaemor | начал процесс добавления админа
2025-11-05 18:25:30 | @playaemor | добавил нового админа (ID: 2061514668)
2025-11-05 18:25:32 | @playaemor | начал процесс добавления админа
2025-11-05 18:25:33 | @playaemor | добавил нового админа (ID: 1848165986)
2025-11-05 18:28:06 | @playaemor | начал процесс ответа пользователю
2025-11-05 18:28:09 | @playaemor | начал процесс ответа пользователю
2025-11-05 18:28:12 | @playaemor | начал процесс ответа пользователю
2025-11-05 18:28:21 | @playaemor | начал процесс ответа пользователю
2025-11-05 18:28:55 | @playaemor | начал процесс ответа пользователю
2025-11-05 18:31:39 | @playaemor | начал процесс ответа пользователю
2025-11-05 18:31:49 | @playaemor | начал процесс ответа пользователю
